ID	SVM score	Prediction
ACZ23845.1	-0.39556594	non DNA-binding protein
ACZ23852.1	2.1208991	DNA-binding protein
ACZ23861.1	-0.00155539	non DNA-binding protein
ACZ23875.1	0.12973045	DNA-binding protein
ACZ23877.1	-2.0261437	non DNA-binding protein
ACZ23898.1	-0.55780635	non DNA-binding protein
ACZ23899.1	-1.732187	non DNA-binding protein
ACZ24038.1	0.28234181	DNA-binding protein
ACZ24048.1	0.25616794	DNA-binding protein
ACZ24049.1	-2.332096	non DNA-binding protein
ACZ24079.1	-0.91737943	non DNA-binding protein
ACZ24115.1	-0.50783815	non DNA-binding protein
ACZ24213.1	-2.5355047	non DNA-binding protein
ACZ24270.1	-2.0503133	non DNA-binding protein
ACZ24317.1	2.0077848	DNA-binding protein
ACZ24328.1	-4.0258381	non DNA-binding protein
ACZ24332.1	-1.9896788	non DNA-binding protein
ACZ24390.1	-2.7527339	non DNA-binding protein
ACZ24402.1	-0.783955	non DNA-binding protein
ACZ24405.1	-0.50175865	non DNA-binding protein
ACZ24409.1	-1.1126878	non DNA-binding protein
ACZ24418.1	-3.0709275	non DNA-binding protein
ACZ24444.1	-0.54421355	non DNA-binding protein
ACZ24518.1	-0.61900872	non DNA-binding protein
ACZ24659.1	1.2756664	DNA-binding protein
ACZ24676.1	-0.51072095	non DNA-binding protein
ACZ24806.1	-0.22855749	non DNA-binding protein
ACZ24846.1	-0.54056082	non DNA-binding protein
ACZ24912.1	-1.5299287	non DNA-binding protein
ACZ24919.1	1.0987691	DNA-binding protein
ACZ24922.1	-4.4273384	non DNA-binding protein
ACZ24964.1	-0.34719688	non DNA-binding protein
ACZ24983.1	3.2365661	DNA-binding protein
ACZ24993.1	-1.1421497	non DNA-binding protein
ACZ25035.1	1.0121434	DNA-binding protein
ACZ25059.1	-0.94178988	non DNA-binding protein
ACZ25070.1	-0.075503476	non DNA-binding protein
ACZ25089.1	-0.3677157	non DNA-binding protein
ACZ25191.1	1.0664462	DNA-binding protein
ACZ25284.1	-0.23737707	non DNA-binding protein
ACZ25302.1	-2.2841836	non DNA-binding protein
ACZ25422.1	-0.11644932	non DNA-binding protein
ACZ25453.1	-2.5377596	non DNA-binding protein
ACZ25466.1	-1.9468447	non DNA-binding protein
ACZ25488.1	-0.005389908	non DNA-binding protein
ACZ25493.1	0.067134912	DNA-binding protein
ACZ25505.1	-1.0658915	non DNA-binding protein
ACZ25506.1	-2.8791595	non DNA-binding protein
ACZ25512.1	1.7404108	DNA-binding protein
CAR07099.1	-0.63595054	non DNA-binding protein
CAR07202.1	0.21411159	DNA-binding protein
CAR07206.1	-1.1434764	non DNA-binding protein
CAR07229.1	-2.1933359	non DNA-binding protein
CAR07299.1	-0.013810374	non DNA-binding protein
CAR07986.2	0.25908182	DNA-binding protein
CAR07988.2	0.12014372	DNA-binding protein
CAR08733.2	-0.85903751	non DNA-binding protein
CAR08825.2	1.7360537	DNA-binding protein
CAR09079.1	0.21529544	DNA-binding protein
CAR09593.1	-1.8129506	non DNA-binding protein
CAR09733.2	2.0163816	DNA-binding protein
CAR10415.2	1.4343861	DNA-binding protein
CAR10516.1	-2.5782163	non DNA-binding protein
CAR10823.2	-0.55852865	non DNA-binding protein
CAR11026.2	-0.14958433	non DNA-binding protein
ADL02696.1	-1.137734	non DNA-binding protein
ADL02710.1	1.1410627	DNA-binding protein
ADL02796.1	-4.0905843	non DNA-binding protein
ADL02954.1	-5.2278151	non DNA-binding protein
ADL03136.1	-3.5785775	non DNA-binding protein
ADL03197.1	-1.3469823	non DNA-binding protein
ADL03293.1	-0.13176861	non DNA-binding protein
ADL03316.1	-1.6310233	non DNA-binding protein
ADL03336.1	-1.2171357	non DNA-binding protein
ADL03380.1	-1.5317306	non DNA-binding protein
ADL03381.1	0.6229026	DNA-binding protein
ADL03391.1	-0.54481822	non DNA-binding protein
ADL03503.1	-3.4833246	non DNA-binding protein
ADL03509.1	-1.9804779	non DNA-binding protein
ADL03535.1	0.010762077	DNA-binding protein
ADL03558.1	-1.5781797	non DNA-binding protein
ADL03602.1	-3.0704183	non DNA-binding protein
ADL03616.1	-2.1729918	non DNA-binding protein
ADL03617.1	-1.6766269	non DNA-binding protein
ADL03625.1	-1.478698	non DNA-binding protein
ADL03631.1	-1.6917951	non DNA-binding protein
ADL03711.1	0.53734922	DNA-binding protein
ADL03729.1	0.98178563	DNA-binding protein
ADL03767.1	-0.37644885	non DNA-binding protein
ADL03802.1	-2.1627807	non DNA-binding protein
ADL03906.1	-2.4893298	non DNA-binding protein
ADL03921.1	-1.2694183	non DNA-binding protein
ADL03926.1	-1.99067	non DNA-binding protein
ADL03938.1	-1.1301755	non DNA-binding protein
ADL03950.1	-1.6707185	non DNA-binding protein
ADL03989.1	-1.6366766	non DNA-binding protein
ADL04025.1	-2.4692228	non DNA-binding protein
ADL04037.1	-1.9880866	non DNA-binding protein
ADL04220.1	0.9351588	DNA-binding protein
ADL04282.1	-0.30090632	non DNA-binding protein
ADL04283.1	-5.1281397	non DNA-binding protein
ADL04284.1	-0.29892449	non DNA-binding protein
ADL04289.1	-0.74023343	non DNA-binding protein
ADL04291.1	-1.5656556	non DNA-binding protein
ADL04301.1	-1.5378876	non DNA-binding protein
ADL04324.1	-2.7685064	non DNA-binding protein
ADL04350.1	-0.30149427	non DNA-binding protein
ADL04384.1	-0.37372628	non DNA-binding protein
ADL04532.1	0.57472939	DNA-binding protein
ADL04591.1	-0.88824203	non DNA-binding protein
ADL04614.1	-1.9437883	non DNA-binding protein
ADL04756.1	-0.35800884	non DNA-binding protein
ADL04795.1	-1.001908	non DNA-binding protein
ADL04833.1	-1.0479854	non DNA-binding protein
ADL04845.1	-2.7881809	non DNA-binding protein
ADL04863.1	-4.4156693	non DNA-binding protein
ADL04910.1	-3.5025154	non DNA-binding protein
ADL04931.1	2.2085796	DNA-binding protein
ADL05025.1	-0.60408813	non DNA-binding protein
ADL05137.1	-3.3480819	non DNA-binding protein
ADL05140.1	-1.9727065	non DNA-binding protein
ADL05200.1	-0.11091933	non DNA-binding protein
ADL05224.1	-1.3961769	non DNA-binding protein
ADL05311.1	-1.4289299	non DNA-binding protein
ADL05332.1	1.3410155	DNA-binding protein
ADL05404.1	-5.3475048	non DNA-binding protein
ADL05405.1	-6.1320106	non DNA-binding protein
ADL05411.1	-3.3513088	non DNA-binding protein
ADL05442.1	-2.3162062	non DNA-binding protein
ADL05445.1	-0.95216571	non DNA-binding protein
ADL05581.1	-0.59665467	non DNA-binding protein
ADL05835.1	-1.2539599	non DNA-binding protein
ADL05913.1	-1.2784584	non DNA-binding protein
ADL05924.1	-0.9781473	non DNA-binding protein
ADL06020.1	-1.6016215	non DNA-binding protein
ADL06164.1	1.8405446	DNA-binding protein
ADL06172.1	0.065831789	DNA-binding protein
ADL06211.1	-1.5060307	non DNA-binding protein
ADL06264.1	2.080875	DNA-binding protein
ADL06306.1	0.50210298	DNA-binding protein
ADL06386.1	-1.9650942	non DNA-binding protein
ADL06432.1	-3.815139	non DNA-binding protein
ADL06433.1	-0.83737185	non DNA-binding protein
ADL06533.1	0.75357929	DNA-binding protein
ADL06580.1	-0.83764178	non DNA-binding protein
ADL06689.1	-1.9033377	non DNA-binding protein
ADL06694.1	-3.6698985	non DNA-binding protein
ADL06740.1	-0.18338824	non DNA-binding protein
ADM36367.1	-0.9671675	non DNA-binding protein
ADM37177.1	1.4091019	DNA-binding protein
ADM37434.1	-3.4589383	non DNA-binding protein
ADM37435.1	-1.9526385	non DNA-binding protein
ADM37511.1	0.19141926	DNA-binding protein
ADM37865.1	1.1238192	DNA-binding protein
ADM37975.1	-1.3039311	non DNA-binding protein
ADM38029.1	-1.9941656	non DNA-binding protein
ADM38156.1	-1.8797886	non DNA-binding protein
ADM38157.1	-2.269318	non DNA-binding protein
ADM38510.1	-0.58489923	non DNA-binding protein
ADM39830.1	-1.0283489	non DNA-binding protein
ADM39982.1	0.040866709	DNA-binding protein
ADN01019.1	0.43499277	DNA-binding protein
ADN01198.1	0.98054914	DNA-binding protein
ADN01203.1	1.962844	DNA-binding protein
ADN01290.1	2.0649078	DNA-binding protein
ADN01293.1	-0.8948941	non DNA-binding protein
ADN01415.1	2.0932489	DNA-binding protein
ADN01424.1	-0.44296967	non DNA-binding protein
ADN01436.1	-0.24444469	non DNA-binding protein
ADN01521.1	0.23870593	DNA-binding protein
ADN01653.1	-0.55616819	non DNA-binding protein
ADN01698.1	2.3823809	DNA-binding protein
ADN01704.1	-2.9790551	non DNA-binding protein
ADN01719.1	1.7317072	DNA-binding protein
ADN01824.1	-0.36581543	non DNA-binding protein
ADN01827.1	-0.087158857	non DNA-binding protein
ADN01912.1	1.0937926	DNA-binding protein
ADN01915.1	-3.1365649	non DNA-binding protein
ADN01929.1	0.42591164	DNA-binding protein
ADN01943.1	-1.285728	non DNA-binding protein
ADN01950.1	0.93179393	DNA-binding protein
ADN02023.1	-1.4307458	non DNA-binding protein
ADN02108.1	1.6179358	DNA-binding protein
ADN02132.1	1.0032533	DNA-binding protein
ADN02135.1	1.143324	DNA-binding protein
ADN02316.1	-1.0964162	non DNA-binding protein
ADN02446.1	0.47891881	DNA-binding protein
ADN02535.1	-2.7068845	non DNA-binding protein
ADN02586.1	-0.032643362	non DNA-binding protein
ADN02666.1	0.14238062	DNA-binding protein
ADN02727.1	-0.23730991	non DNA-binding protein
ADN02758.1	-0.6380225	non DNA-binding protein
ADN02902.1	-0.54336841	non DNA-binding protein
ADN02931.1	0.45729996	DNA-binding protein
ADN02967.1	1.1239479	DNA-binding protein
ADN03016.1	-0.40580765	non DNA-binding protein
ADN03041.1	-0.09334303	non DNA-binding protein
ADN03065.1	1.9567291	DNA-binding protein
ADN03076.1	-1.4617639	non DNA-binding protein
ADN03081.1	0.89757865	DNA-binding protein
ADN03154.1	-1.0531374	non DNA-binding protein
ADN03165.1	-2.4113199	non DNA-binding protein
EDK23044.1	-2.7029736	non DNA-binding protein
EDK23187.1	1.3231322	DNA-binding protein
EDK23301.1	-3.1800887	non DNA-binding protein
EDK23477.1	-1.7465612	non DNA-binding protein
EDK23567.1	-0.9356313	non DNA-binding protein
EDK23610.1	-2.1314161	non DNA-binding protein
EDK23622.1	-0.001062466	non DNA-binding protein
EDK23676.1	-0.33644772	non DNA-binding protein
EDK23679.1	0.37330998	DNA-binding protein
EDK23838.1	-2.3005285	non DNA-binding protein
EDK23882.1	-2.176709	non DNA-binding protein
EDK23892.1	-0.15898484	non DNA-binding protein
EDK24007.1	-0.37614964	non DNA-binding protein
EDK24084.1	-2.7241313	non DNA-binding protein
EDK24089.1	-0.48352466	non DNA-binding protein
EDK24125.1	-1.3251262	non DNA-binding protein
EDK24154.1	-2.5484846	non DNA-binding protein
EDK24294.1	-1.029554	non DNA-binding protein
EDK24547.1	-1.1763081	non DNA-binding protein
EDK24548.1	-1.0687411	non DNA-binding protein
EDK24620.1	-0.85866002	non DNA-binding protein
EDK24640.1	-1.2172179	non DNA-binding protein
EDK24746.1	0.51219378	DNA-binding protein
EDK24775.1	0.50930069	DNA-binding protein
EDK24788.1	1.1265746	DNA-binding protein
EDK24802.1	-0.36661725	non DNA-binding protein
EDK24885.1	-0.61983109	non DNA-binding protein
EDK25030.1	0.98189417	DNA-binding protein
EDK25061.1	-3.2509721	non DNA-binding protein
EDK25094.1	-1.3971958	non DNA-binding protein
EDK25183.1	-2.5404354	non DNA-binding protein
EDK25278.1	-2.7789807	non DNA-binding protein
EDK25310.1	2.6690546	DNA-binding protein
EDK25494.1	-0.044443058	non DNA-binding protein
EDK25500.1	-2.1027674	non DNA-binding protein
EDK25540.1	-0.002455715	non DNA-binding protein
EDK25541.1	-1.5371463	non DNA-binding protein
EDK25622.1	-1.9979721	non DNA-binding protein
EDK25698.1	-0.73450734	non DNA-binding protein
EDK25767.1	-0.81150491	non DNA-binding protein
EDO51772.1	0.43908736	DNA-binding protein
EDO51906.1	0.72117718	DNA-binding protein
EDO51910.1	-0.55804499	non DNA-binding protein
EDO51964.1	-4.4408676	non DNA-binding protein
EDO52039.1	0.20424046	DNA-binding protein
EDO52047.1	-0.87304585	non DNA-binding protein
EDO52141.1	-1.7717708	non DNA-binding protein
EDO52156.1	1.6386816	DNA-binding protein
EDO52157.1	-2.1079557	non DNA-binding protein
EDO52370.1	-2.0135404	non DNA-binding protein
EDO52465.1	1.3460721	DNA-binding protein
EDO52672.1	-0.78113933	non DNA-binding protein
EDO52936.1	0.14792247	DNA-binding protein
EDO52940.1	-1.0883304	non DNA-binding protein
EDO52948.1	-2.2918373	non DNA-binding protein
EDO53010.1	1.3456692	DNA-binding protein
EDO53167.1	0.16813651	DNA-binding protein
EDO53200.1	-3.1945063	non DNA-binding protein
EDO53326.1	0.65237568	DNA-binding protein
EDO53349.1	-0.24532149	non DNA-binding protein
EDO53384.1	-2.2556025	non DNA-binding protein
EDO53438.1	-0.94821352	non DNA-binding protein
EDO53474.1	-3.8726551	non DNA-binding protein
EDO53475.1	-2.549175	non DNA-binding protein
EDO53513.1	1.7527905	DNA-binding protein
EDO53685.1	-1.4729644	non DNA-binding protein
EDO53686.1	0.97817776	DNA-binding protein
EDO53716.1	0.87243739	DNA-binding protein
EDO53738.1	-0.64023354	non DNA-binding protein
EDO53752.1	-1.931318	non DNA-binding protein
EDO53755.1	-2.1083469	non DNA-binding protein
EDO53760.1	-0.79865189	non DNA-binding protein
EDO53762.1	0.0419932	DNA-binding protein
EDO53776.1	-1.3068571	non DNA-binding protein
EDO53790.1	-4.088612	non DNA-binding protein
EDO53989.1	-0.71792021	non DNA-binding protein
EDO54070.1	-1.5503364	non DNA-binding protein
EDO54134.1	-0.061364275	non DNA-binding protein
EDO54192.1	-0.99664595	non DNA-binding protein
EDO54197.1	0.18517191	DNA-binding protein
EDO54313.1	-1.4745671	non DNA-binding protein
EDO54314.1	-2.6559788	non DNA-binding protein
EDO54327.1	0.095652485	DNA-binding protein
EDO54516.1	-0.65902591	non DNA-binding protein
EDO54829.1	-0.4609698	non DNA-binding protein
EDO54848.1	-2.82081	non DNA-binding protein
EDO54876.1	-0.14520674	non DNA-binding protein
EDO54886.1	-0.66028441	non DNA-binding protein
EDO54972.1	-1.4116423	non DNA-binding protein
EDO55076.1	-4.9098812	non DNA-binding protein
EDO55166.1	-1.032882	non DNA-binding protein
EDO55169.1	-3.4023821	non DNA-binding protein
EDO55180.1	-0.50162859	non DNA-binding protein
EDO55222.1	-0.53297082	non DNA-binding protein
EDO55227.1	0.48964256	DNA-binding protein
EDO55256.1	-0.45172815	non DNA-binding protein
EDO55360.1	-1.025999	non DNA-binding protein
EDO55454.1	-0.39076868	non DNA-binding protein
EDO55474.1	0.015553945	DNA-binding protein
EDO55604.1	-1.0022223	non DNA-binding protein
EDO55652.1	0.21500096	DNA-binding protein
EDO55685.1	-0.43017991	non DNA-binding protein
EDO55694.1	-0.58871196	non DNA-binding protein
EDO55740.1	1.1499713	DNA-binding protein
EDO55833.1	1.3221817	DNA-binding protein
EDO55846.1	-1.7510852	non DNA-binding protein
EDO55874.1	-0.40883575	non DNA-binding protein
EDO55948.1	-0.97495262	non DNA-binding protein
EDO56013.1	-0.45498182	non DNA-binding protein
EDO56051.1	-1.1998185	non DNA-binding protein
EDO56070.1	-4.9037271	non DNA-binding protein
EDO56198.1	-0.57188555	non DNA-binding protein
EDO56251.1	0.79012955	DNA-binding protein
EDO56259.1	-0.1174167	non DNA-binding protein
EDO56266.1	-2.0628581	non DNA-binding protein
EDO56293.1	-2.2422144	non DNA-binding protein
EDO56313.1	-0.68285368	non DNA-binding protein
EDO56319.1	-2.3519864	non DNA-binding protein
EDO56331.1	0.50179722	DNA-binding protein
EFB33652.1	0.4871055	DNA-binding protein
EFB33720.1	-0.29855636	non DNA-binding protein
EFB33726.1	1.1885099	DNA-binding protein
EFB33796.1	0.23223121	DNA-binding protein
EFB33800.1	2.5159227	DNA-binding protein
EFB33820.1	0.32883238	DNA-binding protein
EFB33862.1	-2.6279465	non DNA-binding protein
EFB33865.1	-0.80793813	non DNA-binding protein
EFB33873.1	2.4073508	DNA-binding protein
EFB33881.1	0.19727662	DNA-binding protein
EFB33892.1	-0.15400826	non DNA-binding protein
EFB33896.1	0.39050101	DNA-binding protein
EFB33919.1	-1.2432032	non DNA-binding protein
EFB33922.1	3.0008587	DNA-binding protein
EFB33933.1	-0.90632772	non DNA-binding protein
EFB33937.1	-1.733275	non DNA-binding protein
EFB34113.1	-2.5126657	non DNA-binding protein
EFB34115.1	-3.1416187	non DNA-binding protein
EFB34134.1	-1.9741651	non DNA-binding protein
EFB34167.1	-0.1613394	non DNA-binding protein
EFB34170.1	-2.0052971	non DNA-binding protein
EFB34235.1	0.27363914	DNA-binding protein
EFB34315.1	0.87525332	DNA-binding protein
EFB34355.1	0.46591605	DNA-binding protein
EFB34384.1	1.0899222	DNA-binding protein
EFB34487.1	-3.1537671	non DNA-binding protein
EFB34493.1	0.8653511	DNA-binding protein
EFB34494.1	0.9567744	DNA-binding protein
EFB34540.1	-1.3662757	non DNA-binding protein
EFB34549.1	-0.59744817	non DNA-binding protein
EFB34574.1	-2.3018773	non DNA-binding protein
EFB34588.1	-1.9549098	non DNA-binding protein
EFB34594.1	-0.36346351	non DNA-binding protein
EFB34611.1	-2.6523234	non DNA-binding protein
EFB34612.1	-4.4215778	non DNA-binding protein
EFB34631.1	-0.55139657	non DNA-binding protein
EFB34659.1	-1.923304	non DNA-binding protein
EFB34700.1	-0.70248643	non DNA-binding protein
EFB34702.1	-0.90041321	non DNA-binding protein
EFB34723.1	0.23994321	DNA-binding protein
EFB34811.1	0.97567901	DNA-binding protein
EFB34843.1	-2.1029304	non DNA-binding protein
EFB34905.1	-2.1008668	non DNA-binding protein
EFB34940.1	-1.5288171	non DNA-binding protein
EFB35036.1	0.018993939	DNA-binding protein
EFB35059.1	-0.17601879	non DNA-binding protein
EFB35077.1	-1.4108346	non DNA-binding protein
EFB35129.1	0.67865341	DNA-binding protein
EFB35187.1	0.61124067	DNA-binding protein
EFB35232.1	-0.95175377	non DNA-binding protein
EFB35278.1	-1.1553125	non DNA-binding protein
EFB35425.1	-0.65917312	non DNA-binding protein
EFB35446.1	0.79845474	DNA-binding protein
EFB35500.1	-5.1600412	non DNA-binding protein
EFB35518.1	0.50684639	DNA-binding protein
EFB35642.1	0.55586081	DNA-binding protein
EFB35687.1	1.5426246	DNA-binding protein
EFB35703.1	-0.48011709	non DNA-binding protein
EFB35790.1	-2.0721031	non DNA-binding protein
EFB35845.1	-0.56836396	non DNA-binding protein
EFB35855.1	0.24913187	DNA-binding protein
EFB35863.1	-0.032857619	non DNA-binding protein
EFB35873.1	0.21641329	DNA-binding protein
EFB35881.1	-0.92138172	non DNA-binding protein
EFB35901.1	-0.90828845	non DNA-binding protein
EFB35905.1	-0.94095883	non DNA-binding protein
EFB35919.1	0.072427151	DNA-binding protein
EFB35946.1	-0.30362747	non DNA-binding protein
EFB35974.1	-3.8893024	non DNA-binding protein
EFB35997.1	2.4378887	DNA-binding protein
EFB36068.1	1.5228142	DNA-binding protein
EFB36126.1	-1.5817652	non DNA-binding protein
EFB36133.1	-0.13614671	non DNA-binding protein
EFB36205.1	1.991085	DNA-binding protein
EFB36270.1	-4.8353477	non DNA-binding protein
EFB36281.1	-0.34661352	non DNA-binding protein
EFB36284.1	0.66992584	DNA-binding protein
EFB36315.1	-1.6507593	non DNA-binding protein
EFB36347.1	-2.4056998	non DNA-binding protein
EFB36377.1	-1.532746	non DNA-binding protein
EFB36422.1	-0.22753644	non DNA-binding protein
EFB36459.1	-0.5075135	non DNA-binding protein
EFB36472.1	-1.5760024	non DNA-binding protein
EFB36522.1	-0.66740726	non DNA-binding protein
EFB36525.1	0.93127086	DNA-binding protein
EFB36538.1	-0.6572279	non DNA-binding protein
EFB36546.1	-0.17662558	non DNA-binding protein
EFB36586.1	0.44798183	DNA-binding protein
EFB36598.1	-0.49468974	non DNA-binding protein
EFB36621.1	-2.1749552	non DNA-binding protein
EFB36628.1	-1.853147	non DNA-binding protein
EFB36633.1	-0.44485399	non DNA-binding protein
EFB36641.1	-1.2114447	non DNA-binding protein
EFB36647.1	0.64088186	DNA-binding protein
EFB36651.1	-0.26954947	non DNA-binding protein
EFB36666.1	-0.92453276	non DNA-binding protein
EFB36667.1	0.13028057	DNA-binding protein
EFB36668.1	-0.91596443	non DNA-binding protein
EFB36799.1	0.014567401	DNA-binding protein
EFB36835.1	-1.171377	non DNA-binding protein
EFB36873.1	-1.4557973	non DNA-binding protein
EFB36886.1	-0.29752907	non DNA-binding protein
AEH55158.1	-3.2652347	non DNA-binding protein
AEH55178.1	0.15998322	DNA-binding protein
AEH55201.1	-3.1834705	non DNA-binding protein
AEH55282.1	0.051646388	DNA-binding protein
AEH55335.1	-2.9708709	non DNA-binding protein
AEH55376.1	-0.71917641	non DNA-binding protein
AEH55387.1	-0.39901113	non DNA-binding protein
AEH55415.1	-2.7148798	non DNA-binding protein
AEH55417.1	-2.7939092	non DNA-binding protein
AEH55487.1	-0.37351995	non DNA-binding protein
AEH55565.1	-0.7896268	non DNA-binding protein
AEH55566.1	-2.0915922	non DNA-binding protein
AEH55590.1	-3.1053441	non DNA-binding protein
AEH55765.1	-1.1474107	non DNA-binding protein
AEH55850.1	0.74279072	DNA-binding protein
AEH55865.1	0.75558516	DNA-binding protein
AEH55906.1	0.95233941	DNA-binding protein
AEH56068.1	1.3779553	DNA-binding protein
AEH56162.1	0.000176036	DNA-binding protein
AEH56164.1	-1.4057658	non DNA-binding protein
AEH56172.1	-0.45792207	non DNA-binding protein
AEH56238.1	1.1748309	DNA-binding protein
AEH56249.1	-0.33063026	non DNA-binding protein
AEH56300.1	-1.1877914	non DNA-binding protein
AEH56353.1	-4.0315657	non DNA-binding protein
AEH56431.1	-0.38772812	non DNA-binding protein
AEH56445.1	-2.8378085	non DNA-binding protein
AEH56458.1	-0.83764373	non DNA-binding protein
AEH56545.1	-0.32832537	non DNA-binding protein
AEH56565.1	-5.4109613	non DNA-binding protein
AEH56575.1	-0.37159593	non DNA-binding protein
AEH56578.1	0.30927085	DNA-binding protein
AEH56650.1	-1.0170727	non DNA-binding protein
AEH56656.1	-2.0194483	non DNA-binding protein
AEH56779.1	-1.2709741	non DNA-binding protein
AEH56875.1	1.3249625	DNA-binding protein
AEH56879.1	-0.040416395	non DNA-binding protein
AEH56883.1	-2.4921021	non DNA-binding protein
AEH56884.1	-1.8470752	non DNA-binding protein
AEH56891.1	0.14887692	DNA-binding protein
AEH56952.1	0.23629665	DNA-binding protein
AEH56997.1	1.6972652	DNA-binding protein
EBA38452.1	-2.6131915	non DNA-binding protein
EBA38457.1	0.46757995	DNA-binding protein
EBA38477.1	-3.0686816	non DNA-binding protein
EBA38480.1	-1.8725909	non DNA-binding protein
EBA38482.1	-3.4891336	non DNA-binding protein
EBA38494.1	-1.2828343	non DNA-binding protein
EBA38541.1	-1.5746619	non DNA-binding protein
EBA38548.1	-2.9164862	non DNA-binding protein
EBA38586.1	-1.7836493	non DNA-binding protein
EBA38614.1	-1.5850976	non DNA-binding protein
EBA38628.1	-1.6405686	non DNA-binding protein
EBA38687.1	-2.3396466	non DNA-binding protein
EBA38689.1	-0.61980568	non DNA-binding protein
EBA38712.1	-1.7663819	non DNA-binding protein
EBA38750.1	0.49832177	DNA-binding protein
EBA38752.1	0.61008658	DNA-binding protein
EBA38874.1	-0.39569063	non DNA-binding protein
EBA38898.1	-1.0150712	non DNA-binding protein
EBA38902.1	-1.2438247	non DNA-binding protein
EBA38929.1	-0.59236059	non DNA-binding protein
EBA39030.1	1.9693523	DNA-binding protein
EBA39096.1	-1.5848613	non DNA-binding protein
EBA39098.1	-0.93679248	non DNA-binding protein
EBA39143.1	-1.3283548	non DNA-binding protein
EBA39148.1	-2.2053378	non DNA-binding protein
EBA39253.1	-0.77175219	non DNA-binding protein
EBA39295.1	-5.1632789	non DNA-binding protein
EBA39322.1	0.83060211	DNA-binding protein
EBA39382.1	-1.486408	non DNA-binding protein
EBA39468.1	-1.872763	non DNA-binding protein
EBA39520.1	-2.953567	non DNA-binding protein
EBA39526.1	-1.9994486	non DNA-binding protein
EBA39652.1	-0.95593232	non DNA-binding protein
EBA39681.1	-4.6145118	non DNA-binding protein
EBA39712.1	-1.7352079	non DNA-binding protein
EBA39796.1	-0.94901612	non DNA-binding protein
EBA39835.1	-1.76127	non DNA-binding protein
EBA39977.1	-1.2766241	non DNA-binding protein
EBA40005.1	-0.82965946	non DNA-binding protein
EBA40008.1	-1.1231215	non DNA-binding protein
EBA40009.1	-5.8163405	non DNA-binding protein
EBA40077.1	-1.3519464	non DNA-binding protein
EBA40185.1	-1.5474068	non DNA-binding protein
EBA40229.1	-1.5797988	non DNA-binding protein
EBA40315.1	-4.5216644	non DNA-binding protein
EBA40383.1	-3.5726713	non DNA-binding protein
EBA40414.1	-2.0114688	non DNA-binding protein
EBA40415.1	-0.83574648	non DNA-binding protein
EBA40443.1	-0.42888419	non DNA-binding protein
EBA40477.1	-1.1933831	non DNA-binding protein
EBA40535.1	1.1568716	DNA-binding protein
EBA40574.1	-2.2228425	non DNA-binding protein
EBA40595.1	1.1809899	DNA-binding protein
EBA40598.1	-2.0789887	non DNA-binding protein
EBA40605.1	-0.38539396	non DNA-binding protein
EBA40632.1	0.86244088	DNA-binding protein
EFC90075.1	-0.46577452	non DNA-binding protein
EFC90087.1	0.18940694	DNA-binding protein
EFC90131.1	-0.29566434	non DNA-binding protein
EFC90147.1	0.80643816	DNA-binding protein
EFC90152.1	-1.4444151	non DNA-binding protein
EFC90245.1	-2.6347507	non DNA-binding protein
EFC90297.1	-3.0573041	non DNA-binding protein
EFC90330.1	0.26578012	DNA-binding protein
EFC90464.1	-0.1732043	non DNA-binding protein
EFC90627.1	-2.5396392	non DNA-binding protein
EFC90648.1	-2.8078402	non DNA-binding protein
EFC90703.1	-0.92906464	non DNA-binding protein
EFC90711.1	0.27875959	DNA-binding protein
EFC90714.1	-1.3175383	non DNA-binding protein
EFC90720.1	-4.2231069	non DNA-binding protein
EFC90764.1	-3.8391768	non DNA-binding protein
EFC90813.1	-1.8552803	non DNA-binding protein
EFC90886.1	1.2363017	DNA-binding protein
EFC90941.1	-3.0760367	non DNA-binding protein
EFC90984.1	-2.9706992	non DNA-binding protein
EFC91198.1	-1.8097813	non DNA-binding protein
EFC91335.1	-0.7489383	non DNA-binding protein
EFC91345.1	-0.19450579	non DNA-binding protein
EFC91409.1	-0.63342327	non DNA-binding protein
EFC91425.1	-4.2636964	non DNA-binding protein
EFC91498.1	-0.56448634	non DNA-binding protein
EFC91686.1	0.1752641	DNA-binding protein
EFC91729.1	-0.83235583	non DNA-binding protein
EFC91796.1	0.60508667	DNA-binding protein
EFC91890.1	0.35853854	DNA-binding protein
EFC91909.1	-0.67757946	non DNA-binding protein
EFC92004.1	-0.85284156	non DNA-binding protein
EFC92020.1	-1.42621	non DNA-binding protein
EFC92065.1	0.14028017	DNA-binding protein
EFC92131.1	-0.985109	non DNA-binding protein
EFC92247.1	-3.1625789	non DNA-binding protein
EFC92420.1	-0.47391832	non DNA-binding protein
EFC92456.1	-2.2396102	non DNA-binding protein
ADY31173.1	0.702622	DNA-binding protein
ADY31176.1	-3.0014067	non DNA-binding protein
ADY31228.1	0.036937086	DNA-binding protein
ADY31295.1	-1.061227	non DNA-binding protein
ADY31303.1	-1.2076898	non DNA-binding protein
ADY31321.1	-0.56062856	non DNA-binding protein
ADY31347.1	0.77624315	DNA-binding protein
ADY31509.1	1.2217717	DNA-binding protein
ADY31521.1	-0.70167351	non DNA-binding protein
ADY31600.1	-4.4377225	non DNA-binding protein
ADY31705.1	-0.96549142	non DNA-binding protein
ADY31803.1	-0.1460532	non DNA-binding protein
