Taxid	Assembly	Specie	assembly_level	To_retrieve_MassSpec	Specie_name_orig_dataset
1434100	GCA_000970045.1	Methanosarcina^sp.^MTP4	Complete Genome		
38027	GCA_000970085.1	Methanosarcina^siciliae^T4/M	Complete Genome		
170861	GCA_000970265.1	Methanosarcina^lacustris^Z-7289	Complete Genome		
418008	GCA_000970285.1	Methanosarcina^horonobensis^HB-1^=^JCM^15518	Complete Genome		
2208	GCA_000970305.1	Methanosarcina^barkeri^3	Complete Genome		
2226	GCA_000970325.1	Methanococcoides^methylutens^MM1	Complete Genome		
1483601	GCA_000979975.1	Methanosarcina^sp.^1.H.A.2.2	Scaffold		
1538547	GCA_000986845.1	Lokiarchaeum^sp.^GC14_75	Contig		
1550241	GCA_000993805.1	Thermofilum^uzonense	Complete Genome		
113653	GCA_001006045.1	Geoglobus^ahangari	Complete Genome		
1604004	GCA_001011115.1	Halanaeroarchaeum^sulfurireducens	Complete Genome		
1550566	GCA_001017125.1	Methanoculleus^sediminis	Scaffold		
1227555	GCA_001189275.1	Pyrobaculum^sp.^WP30	Complete Genome		
35746	GCA_001190965.1	Haloferax^gibbonsii	Complete Genome		
1419722	GCA_001261915.1	Halorubrum^sp.^SD626R	Scaffold		
1685125	GCA_001273335.1	miscellaneous^Crenarchaeota^group-1^archaeon^SG8-32-3	Contig		
1685124	GCA_001273345.1	miscellaneous^Crenarchaeota^group-1^archaeon^SG8-32-1	Contig		
1685133	GCA_001273375.1	miscellaneous^Crenarchaeota^group^archaeon^SMTZ1-55	Scaffold		
1685126	GCA_001273385.1	miscellaneous^Crenarchaeota^group-6^archaeon^AD8-1	Contig		
1685127	GCA_001273415.1	miscellaneous^Crenarchaeota^group-15^archaeon^DG-45	Scaffold		
1685135	GCA_001273495.1	miscellaneous^Crenarchaeota^group^archaeon^SMTZ-80	Contig		
1705562	GCA_001280425.1	Haloarcula^rubripromontorii	Contig		
1765655	GCA_001280455.1	Halorubrum^tropicale	Contig		
1480675	GCA_001282785.1	Halolamina^sediminis	Contig		
1715806	GCA_001304615.2	Methanosarcina^flavescens	Complete Genome		
699431	GCA_001307315.1	Halolamina^pelagica	Contig		
79601	GCA_001315825.1	Metallosphaera^hakonensis^JCM^8857^=^DSM^7519	Contig		
2264	GCA_001315845.1	Thermococcus^celer^Vu^13^=^JCM^8558	Contig		
53952	GCA_001315905.1	Thermococcus^peptonophilus^OG-1^=^JCM^9653	Contig		
62609	GCA_001315925.1	Thermocladium^modestius^JCM^10088	Contig		
2197	GCA_001315945.1	Methanogenium^cariaci^JCM^10550	Contig		
118126	GCA_001315965.1	Methanoculleus^chikugoensis^JCM^10825	Contig		
164451	GCA_001315985.1	Vulcanisaeta^distributa^JCM^11216	Contig		
164451	GCA_001316005.1	Vulcanisaeta^distributa^JCM^11217	Contig		
164452	GCA_001316025.1	Vulcanisaeta^souniana^JCM^11219	Contig		
47303	GCA_001316045.1	Sulfuracidifex^metallicus^DSM^6482^=^JCM^9184	Contig		
1294262	GCA_001316085.1	Sulfuracidifex^tepidarius	Contig		
399579	GCA_001316105.1	Thermogymnomonas^acidicola^JCM^13583	Contig		
164451	GCA_001316125.1	Vulcanisaeta^distributa^JCM^11213	Contig		
253108	GCA_001316185.1	Natronolimnobius^baerhuensis^JCM^12253^=^CGMCC^1.3597	Contig		
1295370	GCA_001316245.1	Vulcanisaeta^sp.^JCM^14467	Contig		
1295371	GCA_001316265.1	Vulcanisaeta^sp.^JCM^16159	Contig		
1295372	GCA_001316285.1	Vulcanisaeta^sp.^JCM^16161	Contig		
39441	GCA_001316345.1	Methanobrevibacter^arboriphilus^JCM^13429^=^DSM^1125	Contig		
1719120	GCA_001317315.1	Candidatus^Methanoperedens^sp.^BLZ1	Contig		
1591054	GCA_001317345.1	Thermococcus^sp.^EP1	Contig		
1527301	GCA_001321845.1	Nitrosopumilus^sp.^PRT-SC01	Contig		
1700836	GCA_001399795.1	Candidatus^Bathyarchaeota^archaeon^BA2	Scaffold		
1700835	GCA_001399805.1	Candidatus^Bathyarchaeota^archaeon^BA1	Scaffold		
1735327	GCA_001412335.1	Methanolinea^sp.^SDB	Contig		
1735326	GCA_001412355.1	Methanoculleus^sp.^SDB	Contig		
1735328	GCA_001412415.1	Methanosaeta^sp.^SDB	Contig		
1273541	GCA_001412615.1	Pyrodictium^delaneyi	Complete Genome		
277988	GCA_001418715.1	Thermococcus^thioreducens	Contig		
1713725	GCA_001421175.1	Methanomassiliicoccales^archaeon^RumEn^M2	Contig		
1713724	GCA_001421185.1	Methanomassiliicoccales^archaeon^RumEn^M1	Contig		
1655561	GCA_001437625.1	Nitrosopumilus^sp.^BACL13^MAG-121220-bin23	Contig		
1640512	GCA_001443365.1	Thaumarchaeota^archaeon^CSP1-1	Scaffold		
1678448	GCA_001462205.1	Haloparvum^sedimenti	Scaffold		
2309	GCA_001462395.1	Pyrodictium^occultum	Contig		
1544718	GCA_001469865.1	Haloferax^sp.^SB29	Contig		
1544719	GCA_001469875.2	Haloferax^sp.^SB3	Scaffold		
1514971	GCA_001469955.1	Haloprofundus^marisrubri	Contig		
230361	GCA_001477655.1	Methanobrevibacter^millerae	Complete Genome		
1769296	GCA_001481295.1	Candidatus^Methanomethylophilus^sp.^1R26	Contig		
54259	GCA_001481685.1	Ignicoccus^islandicus^DSM^13165	Complete Genome		
227598	GCA_001484195.1	Thermococcus^celericrescens	Contig		
1674923	GCA_001484685.1	Thermococcus^sp.^2319x1	Complete Genome		
1765057	GCA_001485535.1	Halobacterium^sp.^CBA1132	Contig		
1765055	GCA_001485575.1	Haloarcula^sp.^CBA1127	Contig		
1407499	GCA_001488575.1	Halobacterium^hubeiense	Complete Genome		
1635284	GCA_001507955.1	Methanobacteriaceae^archaeon^41_258	Contig		
2198	GCA_001508665.1	Methanoculleus^marisnigri	Scaffold		
1641394	GCA_001508695.1	Methanomicrobiales^archaeon^53_19	Scaffold		
1661711	GCA_001510225.1	Thaumarchaeota^archaeon^casp-thauma1	Contig		
1661713	GCA_001510275.1	Thaumarchaeota^archaeon^casp-thauma3	Contig		
1661714	GCA_001510295.1	Thaumarchaeota^archaeon^casp-thauma4	Contig		
1671625	GCA_001512375.1	Candidatus^Methanoculleus^thermohydrogenotrophicum	Scaffold		
1671626	GCA_001512385.1	Methanoculleus^sp.^DTU007	Scaffold		
1675034	GCA_001512965.1	Methanomicrobia^archaeon^DTU008	Scaffold		
1775754	GCA_001515185.1	Hadesarchaea^archaeon^DG-33	Scaffold		
1775755	GCA_001515195.1	Hadesarchaea^archaeon^DG-33-1	Scaffold		
1776334	GCA_001515205.2	Hadesarchaea^archaeon^YNP_45	Contig		
1776333	GCA_001515215.1	Hadesarchaea^archaeon^YNP_N21	Contig		
1714259	GCA_001515825.1	Pyrobaculum^sp.^OCT_11	Scaffold		
1714260	GCA_001515835.1	Pyrobaculum^sp.^JCHS_4	Scaffold		
1714261	GCA_001516585.1	Thermocladium^sp.^ECH_B	Contig		
1714257	GCA_001516665.1	Thermoproteus^sp.^CIS_19	Scaffold		
1714253	GCA_001516705.1	Vulcanisaeta^sp.^JCHS_4	Scaffold		
1714256	GCA_001516725.1	Caldivirga^sp.^MG_3	Scaffold		
1776294	GCA_001541925.1	Nitrosopumilus^sp.^Nsub	Contig		
1758255	GCA_001542905.1	Halorubrum^aethiopicum	Contig		
1671876	GCA_001543015.1	Nitrosopumilus^sp.^LS_AOA	Contig		
1609968	GCA_001548675.1	Methanobrevibacter^sp.^YE315	Complete Genome		
1698259	GCA_001548885.1	candidate^division^MSBL1^archaeon^SCGC-AAA259A05	Contig		
1698261	GCA_001548915.1	candidate^division^MSBL1^archaeon^SCGC-AAA259D14	Contig		
1698263	GCA_001548935.1	candidate^division^MSBL1^archaeon^SCGC-AAA259E17	Contig		
1698265	GCA_001548955.1	candidate^division^MSBL1^archaeon^SCGC-AAA259E22	Contig		
1698266	GCA_001548965.1	candidate^division^MSBL1^archaeon^SCGC-AAA259I07	Contig		
1698267	GCA_001548995.1	candidate^division^MSBL1^archaeon^SCGC-AAA259I09	Contig		
1698268	GCA_001549015.1	candidate^division^MSBL1^archaeon^SCGC-AAA259I14	Contig		
1698260	GCA_001549035.1	candidate^division^MSBL1^archaeon^SCGC-AAA259B11	Contig		
1698269	GCA_001549045.1	candidate^division^MSBL1^archaeon^SCGC-AAA259J03	Contig		
1698262	GCA_001549075.1	candidate^division^MSBL1^archaeon^SCGC-AAA259D18	Contig		
1698264	GCA_001549095.1	candidate^division^MSBL1^archaeon^SCGC-AAA259E19	Contig		
1698270	GCA_001549115.1	candidate^division^MSBL1^archaeon^SCGC-AAA259M10	Contig		
1698272	GCA_001549125.1	candidate^division^MSBL1^archaeon^SCGC-AAA261C02	Contig		
1698271	GCA_001549135.1	candidate^division^MSBL1^archaeon^SCGC-AAA259O05	Contig		
1698274	GCA_001549195.1	candidate^division^MSBL1^archaeon^SCGC-AAA261F17	Contig		
1698275	GCA_001549215.1	candidate^division^MSBL1^archaeon^SCGC-AAA261F19	Contig		
1698278	GCA_001549255.1	candidate^division^MSBL1^archaeon^SCGC-AAA382A03	Contig		
1698280	GCA_001549275.1	candidate^division^MSBL1^archaeon^SCGC-AAA382A20	Contig		
1698282	GCA_001549285.1	candidate^division^MSBL1^archaeon^SCGC-AAA382F02	Contig		
1698283	GCA_001549315.1	candidate^division^MSBL1^archaeon^SCGC-AAA382K21	Contig		
1698285	GCA_001549325.1	candidate^division^MSBL1^archaeon^SCGC-AAA382N08	Contig		
1698288	GCA_001549355.1	candidate^division^MSBL1^archaeon^SCGC-AAA385M11	Contig		
1698257	GCA_001549395.1	candidate^division^MSBL1^archaeon^SCGC-AAA833F18	Contig		
1698279	GCA_001549435.1	candidate^division^MSBL1^archaeon^SCGC-AAA382A13	Contig		
1698281	GCA_001549445.1	candidate^division^MSBL1^archaeon^SCGC-AAA382C18	Contig		
1698284	GCA_001549475.1	candidate^division^MSBL1^archaeon^SCGC-AAA382M17	Contig		
1698286	GCA_001549495.1	candidate^division^MSBL1^archaeon^SCGC-AAA385D11	Contig		
1577684	GCA_001552015.1	Candidatus^Nanopusillus^acidilobi	Complete Genome		
1495144	GCA_001560915.1	methanogenic^archaeon^ISO4-H5	Complete Genome		
294671	GCA_001563245.1	Methanobrevibacter^olleyae	Complete Genome		
1452364	GCA_001563305.1	methanogenic^archaeon^mixed^culture^ISO4-G1	Chromosome		
1706445	GCA_001563325.1	Candidatus^Thorarchaeota^archaeon^SMTZ1-83	Contig		
1706443	GCA_001563465.1	Candidatus^Thorarchaeota^archaeon^SMTZ-45	Contig		
1732021	GCA_001563795.1	Haloferacaceae^archaeon^B1-Br10_E2g22	Contig		
1729458	GCA_001563805.1	Natrialbaceae^archaeon^B1-Br10_E2g2	Contig		
1729459	GCA_001563885.1	Natrialbaceae^archaeon^B1-Br10_E2g27	Contig		
1729454	GCA_001563905.1	Nanohaloarchaea^archaeon^B1-Br10_U2g19	Contig		
1729455	GCA_001563915.1	Nanohaloarchaea^archaeon^B1-Br10_U2g21	Contig		
1727654	GCA_001563965.1	Haloferacaceae^archaeon^PL-Br10_E2g29	Contig		
1727665	GCA_001563995.1	Nanohaloarchaea^archaeon^PL-Br10_U2g16	Contig		
1727666	GCA_001564035.1	Nanohaloarchaea^archaeon^PL-Br10_U2g27	Contig		
1729464	GCA_001564115.1	Natrialbaceae^archaeon^Tc-Br11_E2g8	Contig		
1729450	GCA_001564135.1	Halobacteriaceae^archaeon^Tc-Br11_E2g27	Contig		
1729456	GCA_001564145.1	Nanohaloarchaea^archaeon^B1-Br10_U2g29	Contig		
1727664	GCA_001564195.1	Nanohaloarchaea^archaeon^PL-Br10_U2g19	Contig		
1727663	GCA_001564205.1	Nanohaloarchaea^archaeon^PL-Br10_U2g5	Contig		
1729461	GCA_001564255.1	Natrialbaceae^archaeon^Tc-Br11_E2g1	Contig		
1729462	GCA_001564275.1	Natrialbaceae^archaeon^Tc-Br11_E2g14	Contig		
1729463	GCA_001564285.1	Natrialbaceae^archaeon^Tc-Br11_E2g28	Contig		
488124	GCA_001571385.1	Methanofollis^ethanolicus	Contig		
1781242	GCA_001577155.1	Candidatus^Bathyarchaeota^archaeon^TCS64	Contig		
1794907	GCA_001577555.1	Methanohalophilus^sp.^T328-1	Contig		
1794908	GCA_001577565.1	Methanolobus^sp.^T82-4	Contig		
1609559	GCA_001577775.1	Pyrococcus^kukulkanii	Complete Genome		
1705564	GCA_001587575.1	Candidatus^Methanofastidiosum^methylthiophilus	Contig		
1705564	GCA_001587595.1	Candidatus^Methanofastidiosum^methylthiophilus	Scaffold		
1705564	GCA_001587675.1	Candidatus^Methanofastidiosum^methylthiophilus	Contig		
1705564	GCA_001587715.1	Candidatus^Methanofastidiosum^methylthiophilus	Contig		
1779372	GCA_001593845.1	Candidatus^Bathyarchaeota^archaeon^B63	Scaffold		
1779369	GCA_001593855.1	Candidatus^Bathyarchaeota^archaeon^B25	Scaffold		
1779368	GCA_001593865.1	Candidatus^Bathyarchaeota^archaeon^B24	Scaffold		
1779367	GCA_001593875.1	Candidatus^Bathyarchaeota^archaeon^B23	Scaffold		
1779370	GCA_001593925.1	Candidatus^Bathyarchaeota^archaeon^B26-1	Scaffold		
1779371	GCA_001593935.1	Candidatus^Bathyarchaeota^archaeon^B26-2	Scaffold		
1008153	GCA_001593955.1	Halalkalicoccus^paucihalophilus	Contig		
1803821	GCA_001595785.1	Euryarchaeota^archaeon^SM23-78	Contig		
1803813	GCA_001595795.1	Theionarchaea^archaeon^DG-70	Contig		
1803816	GCA_001595805.1	Thermoplasmatales^archaeon^SG8-52-1	Contig		
1803814	GCA_001595815.1	Theionarchaea^archaeon^DG-70-1	Contig		
1803817	GCA_001595865.1	Thermoplasmatales^archaeon^SG8-52-2	Contig		
1803819	GCA_001595875.1	Thermoplasmatales^archaeon^SG8-52-4	Contig		
1803822	GCA_001595885.1	Euryarchaeota^archaeon^SG8-5	Scaffold		
1803818	GCA_001595915.1	Thermoplasmatales^archaeon^SG8-52-3	Contig		
1803815	GCA_001595945.1	Thermoplasmatales^archaeon^SM1-50	Contig		
528314	GCA_001602375.1	Methanoculleus^horonobensis	Contig		
1674798	GCA_001602645.1	Methanosarcinales^archaeon^Methan_01	Scaffold		
1674800	GCA_001603205.1	Methanosarcinales^archaeon^Methan_03	Scaffold		
1674804	GCA_001603255.1	Methanomicrobiales^archaeon^Methan_07	Scaffold		
1679489	GCA_001625445.1	Haladaptatus^sp.^R4	Contig		
1811582	GCA_001626095.1	Nitrosopelagicus^sp.^REDSEA-S08_B1	Scaffold		
1811585	GCA_001627055.1	Nitrosopelagicus^sp.^REDSEA-S27_B13N2	Scaffold		
1811587	GCA_001627165.1	Nitrosopelagicus^sp.^REDSEA-S32_B2	Scaffold		
1811651	GCA_001628485.1	Marine^group^II^euryarchaeote^REDSEA-S11_B3N4	Scaffold		
1811655	GCA_001629205.1	Marine^group^II^euryarchaeote^REDSEA-S30_B12	Scaffold		
1811660	GCA_001629235.1	Marine^group^II^euryarchaeote^REDSEA-S43_B8	Scaffold		
1811659	GCA_001629255.1	Marine^group^II^euryarchaeote^REDSEA-S42_B7	Scaffold		
55758	GCA_001639265.1	Methanobrevibacter^filiformis	Contig		
47311	GCA_001639285.1	Methanobrevibacter^cuticularis	Contig		
49547	GCA_001639295.1	Methanobrevibacter^curvatus	Contig		
1712654	GCA_001647085.1	Thermococcus^piezophilus	Complete Genome		
1679446	GCA_001674955.1	Candidatus^Nitrosopumilus^sp.^DDS1	Scaffold		
1882735	GCA_001714685.2	Methanosarcina^sp.^Ant1	Contig		
1867258	GCA_001717005.1	Candidatus^Methanomethylicus^mesodigestum	Scaffold		
1867261	GCA_001717015.1	Candidatus^Methanosuratus^petracarbonis	Scaffold		
1867260	GCA_001717025.1	Candidatus^Methanomethylicus^oleusabulum	Scaffold		
1891280	GCA_001719125.1	Sulfolobus^sp.^A20	Complete Genome		
1849365	GCA_001723835.1	Candidatus^Altiarchaeales^archaeon^WOR_SM1_79	Scaffold		
1849261	GCA_001723845.1	Candidatus^Altiarchaeales^archaeon^WOR_SM1_SCG	Scaffold		
1561964	GCA_001729965.1	Methanosphaera^sp.^WGK6	Contig		
1878999	GCA_001742785.1	Candidatus^Altiarchaeales^archaeon^IMC4	Scaffold		
867917	GCA_001748385.1	Vulcanisaeta^thermophila	Contig		
1737403	GCA_001761425.1	Nanohaloarchaea^archaeon^SG9	Complete Genome		
1838285	GCA_001766815.1	Candidatus^Syntrophoarchaeum^caldarius	Scaffold		
1839936	GCA_001766825.1	Candidatus^Syntrophoarchaeum^butanivorans	Scaffold		
1873524	GCA_001767315.1	Halodesulfurarchaeum^formicicum	Complete Genome		
1797286	GCA_001768965.1	archaeon^RBG_16_50_20	Scaffold		
1797378	GCA_001774235.1	Candidatus^Bathyarchaeota^archaeon^RBG_13_46_16b	Scaffold		
1797379	GCA_001774245.1	Candidatus^Bathyarchaeota^archaeon^RBG_13_52_12	Scaffold		
1797377	GCA_001775955.1	Candidatus^Bathyarchaeota^archaeon^RBG_13_38_9	Scaffold		
1797381	GCA_001775995.1	Candidatus^Bathyarchaeota^archaeon^RBG_16_48_13	Scaffold		
1797382	GCA_001776015.1	Candidatus^Bathyarchaeota^archaeon^RBG_16_57_9	Scaffold		
1801633	GCA_001784635.1	Candidatus^Micrarchaeota^archaeon^RBG_16_49_10	Scaffold		
1801881	GCA_001786395.1	Candidatus^Pacearchaeota^archaeon^RBG_13_36_9	Scaffold		
1801882	GCA_001786425.1	Candidatus^Pacearchaeota^archaeon^RBG_16_35_8	Scaffold		
1801632	GCA_001786585.1	Candidatus^Micrarchaeota^archaeon^RBG_16_36_9	Scaffold		
1801880	GCA_001787285.1	Candidatus^Pacearchaeota^archaeon^RBG_13_33_26	Scaffold		
1802470	GCA_001791825.1	Candidatus^Woesearchaeota^archaeon^RBG_13_36_6	Scaffold		
1797976	GCA_001800665.1	Euryarchaeota^archaeon^RBG_13_31_8	Scaffold		
1797977	GCA_001800675.1	Euryarchaeota^archaeon^RBG_13_57_23	Scaffold		
1797978	GCA_001800715.1	Euryarchaeota^archaeon^RBG_13_61_15	Scaffold		
1797979	GCA_001800735.1	Euryarchaeota^archaeon^RBG_16_62_10	Scaffold		
1797980	GCA_001800745.1	Euryarchaeota^archaeon^RBG_16_67_27	Scaffold		
1797981	GCA_001800755.1	Euryarchaeota^archaeon^RBG_16_68_12	Scaffold		
1797982	GCA_001800795.1	Euryarchaeota^archaeon^RBG_16_68_13	Scaffold		
1797983	GCA_001800815.1	Euryarchaeota^archaeon^RBG_19FT_COMBO_56_21	Scaffold		
1797984	GCA_001800825.1	Euryarchaeota^archaeon^RBG_19FT_COMBO_69_17	Scaffold		
1802371	GCA_001830115.1	Thaumarchaeota^archaeon^RBG_16_49_8	Scaffold		
667138	GCA_001856825.1	Thermoplasmatales^archaeon^I-plasma	Contig		
261391	GCA_001856845.1	Thermoplasmatales^archaeon^Gpl	Contig		
1869245	GCA_001861355.1	Natrialba^sp.^SSL1	Contig		
1826872	GCA_001870125.1	Candidatus^Nitrosocosmicus^exaquare	Complete Genome		
1805247	GCA_001871475.1	Candidatus^Micrarchaeota^archaeon^CG1_02_47_40	Scaffold		
1805249	GCA_001871495.1	Candidatus^Micrarchaeota^archaeon^CG1_02_51_15	Scaffold		
1805250	GCA_001871595.1	Candidatus^Micrarchaeota^archaeon^CG1_02_55_22	Scaffold		
1805296	GCA_001872185.1	Candidatus^Pacearchaeota^archaeon^CG1_02_32_21	Scaffold		
1805298	GCA_001872315.1	Candidatus^Pacearchaeota^archaeon^CG1_02_39_14	Scaffold		
1805422	GCA_001872765.1	Candidatus^Woesearchaeota^archaeon^CG1_02_33_12	Scaffold		
1805295	GCA_001872795.1	Candidatus^Pacearchaeota^archaeon^CG1_02_32_132	Scaffold		
1888995	GCA_001875345.1	Marine^Group^III^euryarchaeote^CG-Epi1	Contig		
1888998	GCA_001875365.1	Marine^Group^III^euryarchaeote^CG-Epi4	Contig		
1889000	GCA_001875375.1	Marine^Group^III^euryarchaeote^CG-Epi6	Contig		
1889001	GCA_001875425.1	Marine^Group^III^euryarchaeote^CG-Bathy1	Contig		
1889002	GCA_001875445.1	Marine^Group^III^euryarchaeote^CG-Bathy2	Contig		
1888999	GCA_001875455.1	Marine^Group^III^euryarchaeote^CG-Epi5	Contig		
1888996	GCA_001875465.1	Marine^Group^III^euryarchaeote^CG-Epi2	Contig		
39664	GCA_001888095.1	Methanohalophilus^portucalensis^FDF-1	Scaffold		
2177	GCA_001889405.1	Methanohalophilus^halophilus	Complete Genome		
662757	GCA_001889985.1	Candidatus^Micrarchaeum^acidiphilum^ARMAN-1	Scaffold		
1918501	GCA_001896725.1	Methanococcoides^sp.^EBM-47	Contig		
1927150	GCA_001914355.1	Thaumarchaeota^archaeon^BIN5	Contig		
1903181	GCA_001914405.1	Candidatus^Methanohalarchaeum^thermophilum	Contig		
1805019	GCA_001915075.1	archaeon^13_2_20CM_2_52_21	Scaffold		
1805396	GCA_001917965.1	Thaumarchaeota^archaeon^13_1_40CM_4_48_7	Scaffold		
1805017	GCA_001918315.1	archaeon^13_1_40CM_4_53_4	Scaffold		
1805098	GCA_001918715.1	Crenarchaeota^archaeon^13_1_40CM_3_53_5	Scaffold		
1805096	GCA_001918745.1	Crenarchaeota^archaeon^13_1_40CM_3_52_17	Scaffold		
1805095	GCA_001918765.1	Crenarchaeota^archaeon^13_1_40CM_3_52_10	Scaffold		
1805386	GCA_001918975.1	Thaumarchaeota^archaeon^13_1_40CM_2_39_13_2	Scaffold		
1805387	GCA_001919295.1	Thaumarchaeota^archaeon^13_1_40CM_2_39_4	Scaffold		
1805012	GCA_001919675.1	archaeon^13_1_20CM_52_20	Scaffold		
1805139	GCA_001919915.1	Euryarchaeota^archaeon^13_1_20CM_4_64_14	Scaffold		
1805382	GCA_001920405.1	Thaumarchaeota^archaeon^13_1_20CM_2_39_11	Scaffold		
1805380	GCA_001920445.1	Thaumarchaeota^archaeon^13_1_20CM_2_38_5	Contig		
1805093	GCA_001920635.1	Crenarchaeota^archaeon^13_1_20CM_2_51_8	Scaffold		
1841598	GCA_001940645.1	Candidatus^Heimdallarchaeota^archaeon^LC_3	Contig		
1849166	GCA_001940655.1	Candidatus^Lokiarchaeota^archaeon^CR_4	Scaffold		
1841599	GCA_001940665.1	Candidatus^Odinarchaeota^archaeon^LCB_4	Contig		
1837170	GCA_001940705.1	Candidatus^Thorarchaeota^archaeon^AB_25	Contig		
1841597	GCA_001940725.1	Candidatus^Heimdallarchaeota^archaeon^LC_2	Contig		
1841596	GCA_001940755.1	Candidatus^Heimdallarchaeota^archaeon^AB_125	Contig		
1930022	GCA_001940805.1	Methanocorpusculaceae^archaeon^Phil4	Scaffold		
301967	GCA_001953745.1	Haloterrigena^saccharevitans	Contig		
588898	GCA_001971705.1	Haloterrigena^daqingensis	Complete Genome		
1932360	GCA_001989615.1	Halorientalis^sp.^IM1011	Complete Genome		
1935113	GCA_002009955.1	Candidatus^Bathyarchaeota^archaeon^JdFR-05	Contig		
1935003	GCA_002009975.1	Thermococcus^sp.^JdFR-02	Contig		
1935127	GCA_002010065.1	Candidatus^Hydrothermarchaeota^archaeon^JdFR-16	Contig		
1935140	GCA_002010075.1	Methanomicrobia^archaeon^JdFR-19	Contig		
1934988	GCA_002010155.1	Archaeoglobus^sp.^JdFR-31	Contig		
1934990	GCA_002010205.1	Archaeoglobus^sp.^JdFR-33	Contig		
1934994	GCA_002010215.1	Archaeoglobus^sp.^JdFR-37	Contig		
1934998	GCA_002010285.1	Archaeoglobus^sp.^JdFR-41	Contig		
1935016	GCA_002010305.1	Archaeoglobi^archaeon^JdFR-42	Contig		
1935017	GCA_002010375.1	Aciduliprofundum^sp.^JdFR-44	Contig		
1935117	GCA_002011005.1	Candidatus^Bathyarchaeota^archaeon^JdFR-09	Contig		
1935119	GCA_002011035.1	Candidatus^Bathyarchaeota^archaeon^JdFR-11	Contig		
1935132	GCA_002011055.1	Crenarchaeota^archaeon^JdFR-12	Contig		
1935120	GCA_002011075.1	Candidatus^Geothermarchaeota^archaeon^JdFR-13	Contig		
1935121	GCA_002011085.1	Candidatus^Geothermarchaeota^archaeon^JdFR-14	Contig		
1935128	GCA_002011115.1	Candidatus^Hydrothermarchaeota^archaeon^JdFR-17	Contig		
1935129	GCA_002011125.1	Candidatus^Hydrothermarchaeota^archaeon^JdFR-18	Contig		
1935138	GCA_002011155.1	Euryarchaeota^archaeon^JdFR-20	Contig		
1934981	GCA_002011215.1	Archaeoglobus^sp.^JdFR-24	Contig		
1934986	GCA_002011255.1	Archaeoglobus^sp.^JdFR-29	Contig		
1935152	GCA_002011355.1	Thermoplasmatales^archaeon^JdFR-43	Contig		
1853690	GCA_002025255.1	Halolamina^sp.^CBA1230	Contig		
1811728	GCA_002067005.1	Methanomassiliicoccales^archaeon^PtaB.Bin215	Contig		
1811680	GCA_002067035.1	Methanoregula^sp.^PtaB.Bin085	Contig		
1811727	GCA_002067045.1	Methanomassiliicoccales^archaeon^PtaB.Bin134	Contig		
1811674	GCA_002067065.1	Methanobacterium^sp.^PtaB.Bin024	Contig		
1811721	GCA_002067095.1	Methanoregulaceae^archaeon^PtaB.Bin056	Contig		
1811720	GCA_002067115.1	Methanoregulaceae^archaeon^PtaB.Bin009	Contig		
1811723	GCA_002067155.1	Methanoregulaceae^archaeon^PtaB.Bin152	Contig		
1811678	GCA_002067265.1	Methanomethylovorans^sp.^PtaU1.Bin073	Contig		
1811679	GCA_002067275.1	Methanomethylovorans^sp.^PtaU1.Bin093	Contig		
1811677	GCA_002067315.1	Methanocella^sp.^PtaU1.Bin125	Contig		
1811722	GCA_002067485.1	Methanoregulaceae^archaeon^PtaB.Bin108	Contig		
1811676	GCA_002067565.1	Methanobacterium^sp.^PtaU1.Bin242	Contig		
1811729	GCA_002067635.1	Methanomassiliicoccales^archaeon^PtaU1.Bin030	Contig		
1811689	GCA_002067705.1	Methanosaeta^sp.^PtaU1.Bin112	Contig		
1811684	GCA_002067755.1	Methanosaeta^sp.^PtaB.Bin018	Contig		
1811730	GCA_002067865.1	Methanomassiliicoccales^archaeon^PtaU1.Bin124	Contig		
1811682	GCA_002067895.1	Methanoregula^sp.^PtaU1.Bin051	Contig		
1811687	GCA_002067935.1	Methanosaeta^sp.^PtaU1.Bin028	Contig		
1933927	GCA_002083985.1	Candidatus^Altiarchaeales^archaeon^A3	Scaffold		
282676	GCA_002116695.1	Acidianus^manzaensis	Complete Genome		
1927129	GCA_002153915.1	Methanonatronarchaeum^thermophilum	Contig		
745377	GCA_002156705.1	Natronolimnobius^aegyptiacus	Complete Genome		
1898749	GCA_002156965.1	Candidatus^Nitrosomarinus^catalina	Complete Genome		
1986694	GCA_002168385.1	Euryarchaeota^archaeon^TMED279	Contig		
1986692	GCA_002168725.1	Euryarchaeota^archaeon^TMED252	Contig		
1986686	GCA_002170075.2	Euryarchaeota^archaeon^TMED141	Contig		
1986698	GCA_002170315.2	Euryarchaeota^archaeon^TMED99	Contig		
1986689	GCA_002170775.2	Euryarchaeota^archaeon^TMED192	Contig		
1986687	GCA_002170935.1	Euryarchaeota^archaeon^TMED164	Contig		
1986683	GCA_002171315.2	Euryarchaeota^archaeon^TMED117	Contig		
1986688	GCA_002172185.1	Euryarchaeota^archaeon^TMED173	Contig		
1986685	GCA_002172355.2	Euryarchaeota^archaeon^TMED132	Contig		
1986684	GCA_002172375.1	Euryarchaeota^archaeon^TMED129	Contig		
1932700	GCA_002176885.1	archaeon^D22	Contig		
2008440	GCA_002197185.1	Thermococcus^sp.^5-4	Complete Genome		
1937004	GCA_002201915.1	Methanopyrus^sp.^KOL6	Chromosome		
